Brasil;10;Neymar Jr;BRA;2;true
Argentina;10;Lionel Messi;ARG;1;true
Portugal;7;Cristiano Ronaldo;POR;3;true
França;10;Kylian Mbappe;FRA;2;true
Inglaterra;9;Harry Kane;ING;1;false
Espanha;8;Pedri;ESP;2;false
Alemanha;6;Joshua Kimmich;ALE;1;false
Holanda;4;Virgil van Dijk;HOL;2;false
Uruguai;15;Federico Valverde;URU;1;false
Croácia;10;Luka Modric;CRO;2;true
Bélgica;17;Kevin De Bruyne;BEL;1;true
Itália;18;Federico Chiesa;ITA;3;false
México;13;Guillermo Ochoa;MEX;2;false
Estados Unidos;10;Christian Pulisic;EUA;1;false
Japão;14;Takefusa Kubo;JAP;2;false
Coreia do Sul;7;Son Heung-min;COR;1;true
Marrocos;2;Achraf Hakimi;MAR;2;false
Senegal;10;Sadio Mané;SEN;1;true
Suíça;23;Xherdan Shaqiri;SUI;3;false
Dinamarca;21;Christian Eriksen;DIN;2;false
